fill_ts,event_ticker,market_ticker,side,count,fill_price_cents,fee_cents,cost_usd,market_status,market_result,settlement_value,settlement_ts,payout_cents_total,pnl_usd
2026-02-20T05:40:22.759360+00:00,KXBTCD-26FEB2001,KXBTCD-26FEB2001-T67499.99,yes,1,85,1,0.86,finalized,yes,100,2026-02-20T06:02:10.52811Z,100,0.14
2026-02-20T05:55:18.486882+00:00,KXBTCD-26FEB2001,KXBTCD-26FEB2001-T67749.99,UNKNOWN,1,22,0,0.22,finalized,yes,100,2026-02-20T06:02:10.52811Z,,
2026-02-20T06:01:16.769552+00:00,KXBTCD-26FEB2002,KXBTCD-26FEB2002-T67999.99,yes,1,18,1,0.19,finalized,no,0,2026-02-20T07:02:20.546218Z,0,-0.19
2026-02-20T06:01:49.623238+00:00,KXBTCD-26FEB2002,KXBTCD-26FEB2002-T67499.99,no,1,20,1,0.21,finalized,yes,100,2026-02-20T07:02:20.546218Z,0,-0.21
2026-02-20T06:13:34.710396+00:00,KXBTCD-26FEB2002,KXBTCD-26FEB2002-T67749.99,no,1,30,1,0.31,finalized,yes,100,2026-02-20T07:02:20.546218Z,0,-0.31
2026-02-20T07:01:26.331479+00:00,KXBTCD-26FEB2003,KXBTCD-26FEB2003-T67499.99,no,1,8,1,0.09,finalized,yes,100,2026-02-20T08:09:20.64727Z,0,-0.09
2026-02-20T07:04:58.216426+00:00,KXBTCD-26FEB2003,KXBTCD-26FEB2003-T67999.99,yes,1,18,1,0.19,finalized,no,0,2026-02-20T08:09:20.64727Z,0,-0.19
2026-02-20T07:22:13.392496+00:00,KXBTCD-26FEB2003,KXBTCD-26FEB2003-T67749.99,no,1,27,1,0.28,finalized,yes,100,2026-02-20T08:09:20.64727Z,0,-0.28
2026-02-20T08:00:58.395614+00:00,KXBTCD-26FEB2004,KXBTCD-26FEB2004-T67999.99,yes,1,20,1,0.21,finalized,no,0,2026-02-20T09:02:10.488965Z,0,-0.21
2026-02-20T08:12:59.172753+00:00,KXBTCD-26FEB2004,KXBTCD-26FEB2004-T67749.99,UNKNOWN,1,28,0,0.28,finalized,yes,100,2026-02-20T09:02:10.488965Z,,
2026-02-20T08:17:04.109131+00:00,KXBTCD-26FEB2004,KXBTCD-26FEB2004-T67499.99,no,1,2,1,0.03,finalized,yes,100,2026-02-20T09:02:10.488965Z,0,-0.03
2026-02-20T09:00:40.059220+00:00,KXBTCD-26FEB2005,KXBTCD-26FEB2005-T67749.99,no,1,27,1,0.28,finalized,yes,100,2026-02-20T10:02:20.538556Z,0,-0.28
2026-02-20T09:01:02.207288+00:00,KXBTCD-26FEB2005,KXBTCD-26FEB2005-T67499.99,no,1,4,1,0.05,finalized,yes,100,2026-02-20T10:02:20.538556Z,0,-0.05
2026-02-20T09:03:05.522195+00:00,KXBTCD-26FEB2005,KXBTCD-26FEB2005-T67999.99,no,1,31,1,0.32,finalized,yes,100,2026-02-20T10:02:20.538556Z,0,-0.32
2026-02-20T09:28:10.857308+00:00,KXBTCD-26FEB2005,KXBTCD-26FEB2005-T68249.99,yes,1,26,1,0.27,finalized,no,0,2026-02-20T10:02:20.538556Z,0,-0.27
2026-02-20T10:01:32.256438+00:00,KXBTCD-26FEB2006,KXBTCD-26FEB2006-T68499.99,yes,1,8,1,0.09,finalized,no,0,2026-02-20T11:02:20.485221Z,0,-0.09
2026-02-20T10:01:54.596367+00:00,KXBTCD-26FEB2006,KXBTCD-26FEB2006-T67999.99,no,1,15,1,0.16,finalized,no,0,2026-02-20T11:02:20.485221Z,100,0.84
2026-02-20T10:03:58.513303+00:00,KXBTCD-26FEB2006,KXBTCD-26FEB2006-T68249.99,yes,1,30,1,0.31,finalized,no,0,2026-02-20T11:02:20.485221Z,0,-0.31
2026-02-20T11:11:59.794435+00:00,KXBTCD-26FEB2007,KXBTCD-26FEB2007-T67999.99,yes,1,20,1,0.21,finalized,no,0,2026-02-20T12:02:10.630131Z,0,-0.21
2026-02-20T11:24:15.730569+00:00,KXBTCD-26FEB2007,KXBTCD-26FEB2007-T67499.99,no,1,5,1,0.06,finalized,no,0,2026-02-20T12:02:10.630131Z,100,0.94
2026-02-20T11:32:15.637122+00:00,KXBTCD-26FEB2007,KXBTCD-26FEB2007-T67749.99,UNKNOWN,1,28,0,0.28,finalized,no,0,2026-02-20T12:02:10.630131Z,,
2026-02-20T12:17:20.510198+00:00,KXBTCD-26FEB2008,KXBTCD-26FEB2008-T67749.99,yes,1,11,1,0.12,finalized,no,0,2026-02-20T13:02:10.487198Z,0,-0.12
2026-02-20T12:18:42.120949+00:00,KXBTCD-26FEB2008,KXBTCD-26FEB2008-T67499.99,yes,1,23,1,0.24,finalized,yes,100,2026-02-20T13:02:10.487198Z,100,0.76
2026-02-20T12:25:21.678981+00:00,KXBTCD-26FEB2008,KXBTCD-26FEB2008-T67249.99,no,1,19,1,0.2,finalized,yes,100,2026-02-20T13:02:10.487198Z,0,-0.2
2026-02-20T13:58:32.390814+00:00,KXBTCD-26FEB2009,KXBTCD-26FEB2009-T66749.99,yes,1,49,1,0.5,finalized,yes,100,2026-02-20T14:02:20.719207Z,100,0.5
