event_ticker,market_ticker,side,contracts,settled_contracts,cost_usd,pnl_usd,market_status,market_result
KXBTCD-26FEB2001,KXBTCD-26FEB2001-T67499.99,yes,1,1,0.86,0.14,finalized,yes
KXBTCD-26FEB2001,KXBTCD-26FEB2001-T67749.99,UNKNOWN,1,0,0.22,0.0,finalized,yes
KXBTCD-26FEB2002,KXBTCD-26FEB2002-T67499.99,no,1,1,0.21,-0.21,finalized,yes
KXBTCD-26FEB2002,KXBTCD-26FEB2002-T67749.99,no,1,1,0.31,-0.31,finalized,yes
KXBTCD-26FEB2002,KXBTCD-26FEB2002-T67999.99,yes,1,1,0.19,-0.19,finalized,no
KXBTCD-26FEB2003,KXBTCD-26FEB2003-T67499.99,no,1,1,0.09,-0.09,finalized,yes
KXBTCD-26FEB2003,KXBTCD-26FEB2003-T67749.99,no,1,1,0.28,-0.28,finalized,yes
KXBTCD-26FEB2003,KXBTCD-26FEB2003-T67999.99,yes,1,1,0.19,-0.19,finalized,no
KXBTCD-26FEB2004,KXBTCD-26FEB2004-T67499.99,no,1,1,0.03,-0.03,finalized,yes
KXBTCD-26FEB2004,KXBTCD-26FEB2004-T67749.99,UNKNOWN,1,0,0.28,0.0,finalized,yes
KXBTCD-26FEB2004,KXBTCD-26FEB2004-T67999.99,yes,1,1,0.21,-0.21,finalized,no
KXBTCD-26FEB2005,KXBTCD-26FEB2005-T67499.99,no,1,1,0.05,-0.05,finalized,yes
KXBTCD-26FEB2005,KXBTCD-26FEB2005-T67749.99,no,1,1,0.28,-0.28,finalized,yes
KXBTCD-26FEB2005,KXBTCD-26FEB2005-T67999.99,no,1,1,0.32,-0.32,finalized,yes
KXBTCD-26FEB2005,KXBTCD-26FEB2005-T68249.99,yes,1,1,0.27,-0.27,finalized,no
KXBTCD-26FEB2006,KXBTCD-26FEB2006-T67999.99,no,1,1,0.16,0.84,finalized,no
KXBTCD-26FEB2006,KXBTCD-26FEB2006-T68249.99,yes,1,1,0.31,-0.31,finalized,no
KXBTCD-26FEB2006,KXBTCD-26FEB2006-T68499.99,yes,1,1,0.09,-0.09,finalized,no
KXBTCD-26FEB2007,KXBTCD-26FEB2007-T67499.99,no,1,1,0.06,0.94,finalized,no
KXBTCD-26FEB2007,KXBTCD-26FEB2007-T67749.99,UNKNOWN,1,0,0.28,0.0,finalized,no
KXBTCD-26FEB2007,KXBTCD-26FEB2007-T67999.99,yes,1,1,0.21,-0.21,finalized,no
KXBTCD-26FEB2008,KXBTCD-26FEB2008-T67249.99,no,1,1,0.2,-0.2,finalized,yes
KXBTCD-26FEB2008,KXBTCD-26FEB2008-T67499.99,yes,1,1,0.24,0.76,finalized,yes
KXBTCD-26FEB2008,KXBTCD-26FEB2008-T67749.99,yes,1,1,0.12,-0.12,finalized,no
KXBTCD-26FEB2009,KXBTCD-26FEB2009-T66749.99,yes,1,1,0.5,0.5,finalized,yes
